Number,"Problem name ",Problem Link,Difficulty level,"My Confidence Level ","Last Solved ",Concept involved,Leetcode Problem List,"Companies asked "
1,"Contains Duplicate ",https://leetcode.com/problems/contains-duplicate/description/,Easy,High,"June 12, 2024","Arrays, Sets","Blind 75, Neetcode - 150, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Facebook/Meta, Google, Microsoft, Tcs, Uber, Yahoo"
2,Valid Anagram,https://leetcode.com/problems/valid-anagram/description/,Easy,Meduim,"June 12, 2024",Strings,"Blind 75, Neetcode - 150, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Goldman Sachs, Google, JPMorgan, Microsoft, Uber, Yandex"
3,"Two Sum ",https://leetcode.com/problems/two-sum/description/,Easy,High,"June 12, 2024","Arrays, HashTables","Blind 75, Neetcode - 150, Top 100 Liked Questions, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Cisco, DoorDash, Facebook/Meta, Goldman Sachs, Google, IBM, JPMorgan, Microsoft, Morgan Stanley, Nvidia, Oracle, TicTok, Uber, Yahoo, Yandex, Zoho"
4,"Valid palindrome ",https://leetcode.com/problems/valid-palindrome/,Easy,Meduim,"October 14, 2024","Strings, Two Pointers","Blind 75, Neetcode - 150, Top Facebook Questions, Top Interview Questions","Adobe, Amazon, Apple, Facebook/Meta, Google, TicTok, Yandex"
5,"Two Sum II: Input Array is Sorted ",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,"Meduim ",High,"October 14, 2024","Arrays, Two Pointers",Neetcode - 150,"Adobe, Amazon, Apple, Facebook/Meta"
6,"Group Anagrams   ",https://leetcode.com/problems/group-anagrams/description/,"Meduim ",Meduim,"April 21, 2024","HashTables, Strings","Blind 75, Neetcode - 150, Top 100 Liked Questions, Top Amazon Questions, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Facebook/Meta, Goldman Sachs, Google, Microsoft, Nvidia, Oracle, Ripple, Salesforce, ServiceNow, TicTok, Visa, Yahoo, Yandex, Zoho"
7,3Sum,https://leetcode.com/problems/3sum/description/,"Meduim ",Meduim,"October 14, 2024","Arrays, Two Pointers","Blind 75, Neetcode - 150, Top 100 Liked Questions, Top Interview Questions, Top Microsoft Questions","Adobe, Agoda, Amazon, Apple, Bloomberg, Facebook/Meta, Google, Intuit, Microsoft, Nvidia, TicTok, Yahoo"
8,"Container with  Water ",https://leetcode.com/problems/container-with-most-water/description/?source=submission-noac,"Meduim ",Meduim,"April 26, 2024","Arrays, Two Pointers","Blind 75, Neetcode - 150, Top 100 Liked Questions, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Facebook/Meta, Goldman Sachs, Google, Microsoft, Oracle, TicTok, Yahoo"
9,"Reverse a Linked List ",https://leetcode.com/problems/reverse-linked-list/description/,Easy,Meduim,"June 17, 2024",Linked List,"Blind 75, Neetcode - 150, Top 100 Liked Questions, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Facebook/Meta, Google, Microsoft, Tcs, TicTok"
10,"Majority Element ",https://leetcode.com/problems/majority-element/description/,Easy,Meduim,"June 17, 2024","Arrays, HashTables","Top 100 Liked Questions, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Facebook/Meta, Google, Microsoft, Nvidia, Tcs, pwc"
11,"Top K frequent Elements ",https://leetcode.com/problems/top-k-frequent-elements/,"Meduim ",Low,"July 8, 2024","Arrays, HashTables, heaps","Neetcode - 150, Top 100 Liked Questions, Top Facebook Questions, Top Interview Questions","Adobe, Amazon, Apple, Avito, Bloomberg, Facebook/Meta, Google, Intuit, Microsoft, Netflix, Oracle, TicTok, Uber, Walmart, Yahoo, paypal"
12,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/description/,"Meduim ",Low,"October 3, 2024",Arrays,"Blind 75, Neetcode - 150, Top 100 Liked Questions, Top Interview Questions","Adobe, Amazon, Apple, Bloomberg, Facebook/Meta, Google, Intuit, Microsoft, TicTok, Uber, Yahoo"
13,Encode Decode String,https://leetcode.com/problems/encode-and-decode-strings/description/,"Meduim ",Low,"October 3, 2024","Arrays, Strings","Blind 75, Leetcode Curated Algorithms, Neetcode - 150","Cisco, Facebook/Meta, Google, Microsoft, Snowflake"
14,Longest Consecutive Subsequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,"Meduim ",Low,"October 3, 2024","Arrays, Sets","Neetcode - 150, Top 100 Liked Questions, Top Interview Questions","Amazon, Bloomberg, Google, Infosys, Lyft, Meta, Microsoft, Oracle, TicTok, Zepto"
15,"Valid Sudoku ",https://leetcode.com/problems/valid-sudoku/description/,"Meduim ",Meduim,"October 3, 2024","Arrays, Sets","Neetcode - 150, Top Interview Questions","Amazon, Apple, Bloomberg, Linkedin, Microsoft, Snap, Uber"
16,Insert Interval,https://leetcode.com/problems/insert-interval/,"Meduim ",Meduim,"October 10, 2024",Intervals,"Blind 75, Neetcode - 150","Facebook/Meta, Google, Linkedin"
17,"Merge Interval ",https://leetcode.com/problems/merge-intervals/description/,"Meduim ",Meduim,"October 10, 2024",Intervals,"Blind 75, Neetcode - 150, Top 100 Liked Questions, Top Facebook Questions, Top Microsoft Questions","Amazon, Apple, Bloomberg, Facebook/Meta, Google, Grammarly, Microsoft, Oracle, TicTok"
18,"Non - Overlapping Interval ",https://leetcode.com/problems/non-overlapping-intervals/,"Meduim ",Meduim,"October 10, 2024",Intervals,"Blind 75, Neetcode - 150","Microsoft, Zoho"
19,"Next Greater Element I ",https://leetcode.com/problems/next-greater-element-i/description/,Easy,Meduim,"October 11, 2024","Arrays, HashTables, Stack",,"Amazon, Google, Microsoft, Oracle"
20,"Daily Temperatures ",https://leetcode.com/problems/daily-temperatures/description/,"Meduim ",Meduim,"October 11, 2024",Stack,"Neetcode - 150, Top 100 Liked Questions","Amazon, Anduril, Facebook/Meta, Google, Microsoft, Octa, Zoho"
21,Trapping Rain Water,,,,,,,
22,"Permutation in String ",https://leetcode.com/problems/permutation-in-string/,"Meduim ",Low,"October 22, 2024","Sliding Window, Strings","Neetcode - 150, Top 100 Liked Questions","Amazon, Facebook/Meta, Google, Microsoft, Oracle, TicTok, Yandex"
23,"Binary Tree Inorder Traversal ",https://leetcode.com/problems/binary-tree-inorder-traversal/,Easy,Meduim,"October 28, 2024","Binary Trees, DFS","Top 100 Liked Questions, Top Interview Questions","Facebook/Meta, Google"
24,"Binary Pre Order Traversal ",https://leetcode.com/problems/binary-tree-preorder-traversal/,Easy,Meduim,"October 28, 2024","Binary Trees, DFS",,"Bloomberg, Facebook/Meta, Microsoft"
25,"Binary Post Order Traversal ",https://leetcode.com/problems/binary-tree-postorder-traversal/,Easy,Meduim,"October 28, 2024","Binary Trees, DFS",,"Amazon, Bloomberg, Facebook/Meta, Google"
,,,,,,,,
,,,,,,,,
,,,,,,,,